module_name,class_name,method_name,startLine,CBM,m_FAN_IN,m_FAN_OUT,IDMC,EDMC,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,m_variablesQty,parametersQty,m_modifier
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.JavassistUtils,org.apache.servicecomb.common.javassist.JavassistUtils.clearByClassLoader,52,10,10,0,1,9,False,0,0,0,0,0
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.JavassistUtils,org.apache.servicecomb.common.javassist.JavassistUtils.JavassistUtils,56,0,0,0,0,0,False,0,0,0,0,0
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.JavassistUtils,org.apache.servicecomb.common.javassist.JavassistUtils.createEnum,88,1,0,1,0,1,False,0,4,3,0,2
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.JavassistUtils,org.apache.servicecomb.common.javassist.JavassistUtils.getOrCreateEnumWithPackageName,69,2,2,0,1,1,False,0,1,1,0,2
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.JavassistUtils,org.apache.servicecomb.common.javassist.JavassistUtils.getOrCreateEnumWithClassName,78,1,1,0,1,0,False,0,1,1,0,0
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.JavassistUtils,org.apache.servicecomb.common.javassist.JavassistUtils.addEnumConstructor,112,0,0,0,0,0,False,0,0,0,0,2
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.JavassistUtils,org.apache.servicecomb.common.javassist.JavassistUtils.addEnumValuesMethod,121,0,0,0,0,0,False,0,0,0,0,5
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.JavassistUtils,org.apache.servicecomb.common.javassist.JavassistUtils.createClass,201,1,0,1,0,1,False,0,1,0,0,2
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.JavassistUtils,org.apache.servicecomb.common.javassist.JavassistUtils.createCtClass,141,5,1,4,3,2,False,0,20,4,0,4
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.JavassistUtils,org.apache.servicecomb.common.javassist.JavassistUtils.capitalize,225,0,0,0,0,0,False,0,0,0,0,0
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.JavassistUtils,org.apache.servicecomb.common.javassist.JavassistUtils.addFieldGetter,232,4,0,4,4,0,False,0,12,1,0,2
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.JavassistUtils,org.apache.servicecomb.common.javassist.JavassistUtils.addFieldSetter,247,3,0,3,3,0,False,0,10,1,0,1
