score,SMQ,ODD,IDD,SPREAD,FOUCUS,ICF,ECF,REI,CHM,CHD,module_name,scoh,scop,odd,idd,spread,focus,icf,ecf,rei,chm,chd,DSM,class_name,c_chm,c_chd,CBC,c_FAN_IN,c_FAN_OUT,IDCC,IODD,IIDD,EDCC,NOP,NAC,NDC,NOI,NOID,RFC,NOSI,CTM,c_variablesQty,NOM,WMC,privateMethodsQty,NOVM,CIS,protectedMethodsQty,staticMethodsQty,defaultMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,NOF,publicFieldsQty,privateFieldsQty,protectedFieldsQty,staticFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,TCC,LCC,LCOM,LOCM*,c_modifiers
0.6471774615384616,-0.2998,0.036,0.036,0.0143,0.0272,0.0507,0.0045,0.043,0.5204,0.3511,com.ctrip.framework.apollo.adminservice.controller,0.0165,0.2274,0.1039,0.0,0.0513,0.1243,0.0702,0.0141,0.2009,0.6597567941317941,0.4416080447330449,22,com.ctrip.framework.apollo.adminservice.controller.ReleaseControllerTest,1.0000,0.3333,7,0,7,2,2,0,5,0,2,0,0,1,11,0,11,24,2,2,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.6471774615384616,-0.2998,0.036,0.036,0.0143,0.0272,0.0507,0.0045,0.043,0.5204,0.3511,com.ctrip.framework.apollo.adminservice.controller,0.0165,0.2274,0.1039,0.0,0.0513,0.1243,0.0702,0.0141,0.2009,0.6597567941317941,0.4416080447330449,22,com.ctrip.framework.apollo.adminservice.controller.TestWebSecurityConfig,0.5000,0.2000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.6471774615384616,-0.2998,0.036,0.036,0.0143,0.0272,0.0507,0.0045,0.043,0.5204,0.3511,com.ctrip.framework.apollo.assembly,0.0,0.0,0.0,0.0,0.0128,0.013,0.25,0.0064,0.0256,1.0,1.0,2,com.ctrip.framework.apollo.assembly.ApolloApplication,1.0000,1.0000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1
0.6471774615384616,-0.2998,0.036,0.036,0.0143,0.0272,0.0507,0.0045,0.043,0.5204,0.3511,com.ctrip.framework.apollo.assembly,0.0,0.0,0.0,0.0,0.0128,0.013,0.25,0.0064,0.0256,1.0,1.0,2,com.ctrip.framework.apollo.assembly.LocalApolloApplication,1.0000,1.0000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1
0.6471774615384616,-0.2998,0.036,0.036,0.0143,0.0272,0.0507,0.0045,0.043,0.5204,0.3511,com.ctrip.framework.apollo.biz,0.0,0.5127,0.026,0.026,0.0,0.0,0.0,0.0,0.0,0.27777777777777773,0.16825396825396824,1,com.ctrip.framework.apollo.biz.MockBeanFactory,0.2778,0.1683,9,4,5,0,0,0,9,0,1,0,0,4,15,0,15,4,4,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.6471774615384616,-0.2998,0.036,0.036,0.0143,0.0272,0.0507,0.0045,0.043,0.5204,0.3511,com.ctrip.framework.apollo.biz.config,0.25,1.3678,0.013,0.1039,0.0128,0.0032,0.25,0.0,0.0,0.7875816993464052,0.29346405228758166,2,com.ctrip.framework.apollo.biz.config.BizConfig,0.5752,0.2536,16,15,1,1,0,1,15,1,2,0,0,14,4,0,3,14,18,18,0,18,16,1,0,1,0,0,0,3,0,3,0,1,0,1,0,0,0,0,0,1
0.6471774615384616,-0.2998,0.036,0.036,0.0143,0.0272,0.0507,0.0045,0.043,0.5204,0.3511,com.ctrip.framework.apollo.biz.config,0.25,1.3678,0.013,0.1039,0.0128,0.0032,0.25,0.0,0.0,0.7875816993464052,0.29346405228758166,2,com.ctrip.framework.apollo.biz.config.BizConfigTest,1.0000,0.3333,1,0,1,1,1,0,0,0,1,0,0,1,2,0,2,14,6,6,0,6,6,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1
0.6471774615384616,-0.2998,0.036,0.036,0.0143,0.0272,0.0507,0.0045,0.043,0.5204,0.3511,com.ctrip.framework.apollo.biz.customize,0.0,0.5,0.026,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1,com.ctrip.framework.apollo.biz.customize.BizLoggingCustomizer,1.0000,0.5000,2,0,2,0,0,0,2,2,2,0,0,0,2,0,2,1,2,2,0,2,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
0.6471774615384616,-0.2998,0.036,0.036,0.0143,0.0272,0.0507,0.0045,0.043,0.5204,0.3511,com.ctrip.framework.apollo.biz.entity,0.0,0.5335,0.013,0.1429,0.0385,0.0414,0.051,0.006,0.1176,0.32295422831137116,0.37074091116633134,14,com.ctrip.framework.apollo.biz.entity.Audit,0.3472,0.3833,2,1,1,0,0,0,2,1,2,0,0,12,1,0,1,4,9,9,0,9,9,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,1
0.6471774615384616,-0.2998,0.036,0.036,0.0143,0.0272,0.0507,0.0045,0.043,0.5204,0.3511,com.ctrip.framework.apollo.biz.entity,0.0,0.5335,0.013,0.1429,0.0385,0.0414,0.051,0.006,0.1176,0.32295422831137116,0.37074091116633134,14,com.ctrip.framework.apollo.biz.entity.Cluster,0.2321,0.2679,8,7,1,0,0,0,8,1,2,0,0,9,2,0,2,3,8,8,0,8,8,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,1
